index,gamma,rho_obs,z,mu_T,rho_N,residual,ratio,spacing
154,401.839228600533204,0.661794107618,1.8316053355,0.6659957396,0.440752056183,0.221042051435,1.5015111066,1.854108724338
155,402.861917763886140,0.662198645685,1.8327249497,0.6661368092,0.441114892873,0.221083752812,1.5011931277,1.022689163353
156,404.236441800208013,0.662740741958,1.8342252749,0.6663256670,0.441601166943,0.221139575015,1.5007676419,1.374524036322
157,405.134387459909931,0.663093886756,1.8352026513,0.6664485860,0.441917983193,0.221175903563,1.5004908421,0.897945659702
158,407.581460386896197,0.664052315044,1.8378552321,0.6667817445,0.442777961071,0.221274353973,1.4997411195,2.447072926986
159,408.947245502351109,0.664584743735,1.8393288010,0.6669665436,0.443255789444,0.221328954291,1.4993255803,1.365785115455
160,410.513869193366645,0.665193280745,1.8410130101,0.6671775161,0.443802000793,0.221391279952,1.4988514688,1.566623691016
161,411.972267804278772,0.665757695343,1.8425751044,0.6673729609,0.444308684395,0.221449010948,1.4984125198,1.458398610912
162,413.262736070185042,0.666255455544,1.8439527235,0.6675451405,0.444755591675,0.221499863869,1.4980260350,1.290468265906
163,415.018809755155132,0.666930318403,1.8458204984,0.6677783062,0.445361598353,0.221568720050,1.4975029748,1.756073684970
164,418.387705789534778,0.668217035911,1.8493816644,0.6682219924,0.446517319064,0.221699716846,1.4965086624,3.368896034380
165,419.861364818152310,0.668776631784,1.8509304222,0.6684145947,0.447020061296,0.221756570488,1.4960774464,1.473659028618
166,420.643827625041808,0.669072960375,1.8517505519,0.6685164978,0.447286312276,0.221786648099,1.4958493967,0.782462806889
167,422.076710058826734,0.669614184972,1.8532484647,0.6687024608,0.447772653297,0.221841531675,1.4954334081,1.432882433785
168,423.716579627481792,0.670231342091,1.8549565311,0.6689142678,0.448327307422,0.221904034670,1.4949598898,1.639869568655
169,425.069882494461353,0.670738854953,1.8563611421,0.6690882488,0.448783485837,0.221955369116,1.4945711599,1.353302866980
170,432.138641734588589,0.673363778632,1.8636259759,0.6699852848,0.451143822992,0.222219955640,1.4925700948,7.068759240127
171,433.889218480927241,0.674007206713,1.8654067507,0.6702044508,0.451722629837,0.222284576875,1.4920820039,1.750576746339
172,436.161006432646957,0.674838347476,1.8677070460,0.6704871394,0.452470433186,0.222367914289,1.4914529171,2.271787951720
173,437.581698167668605,0.675355914742,1.8691394839,0.6706629382,0.452936182132,0.222419732610,1.4910619672,1.420691735022
174,438.621738656272214,0.675733744035,1.8701851780,0.6707911585,0.453276221017,0.222457523018,1.4907769539,1.040040488604
175,439.918442214370657,0.676203561888,1.8714854629,0.6709504614,0.453699091849,0.222504470040,1.4904230007,1.296703558098
176,441.683199201189041,0.676840743490,1.8732489497,0.6711662747,0.454272680364,0.222568063125,1.4899437557,1.764756986818
177,442.904546302609447,0.677280233078,1.8744652970,0.6713149702,0.454668359456,0.222611873622,1.4896137349,1.221347101420
178,444.319336277559159,0.677787818623,1.8758701092,0.6714865431,0.455125399300,0.222662419323,1.4892331205,1.414789974950
179,449.148545685023294,0.679508305836,1.8806317919,0.6720668112,0.456674980256,0.222833325579,1.4879473043,4.829209407464
180,450.126945780313520,0.679854623009,1.8815902718,0.6721833736,0.456986974078,0.222867648931,1.4876892813,0.978400095290
181,451.403308445388802,0.680305278019,1.8828375209,0.6723349339,0.457393004095,0.222912273924,1.4873539209,1.276362665075
182,453.986737806677922,0.681213542188,1.8853512657,0.6726399813,0.458211464265,0.223002077923,1.4866793944,2.583429361289
183,454.974683768616785,0.681559511866,1.8863087840,0.6727560333,0.458523273668,0.223036238198,1.4864229386,0.987945961939
184,456.328426689246044,0.682032362301,1.8876174619,0.6729145175,0.458949477982,0.223082884319,1.4860728577,1.353742920629
185,457.903893064102988,0.682580895762,1.8891356030,0.6730981821,0.459443960085,0.223136935678,1.4856673611,1.575466374857
186,459.513415281106006,0.683139341035,1.8906811764,0.6732849606,0.459947444289,0.223191896746,1.4852552167,1.609522217003
187,460.087944422175838,0.683338207998,1.8912315678,0.6733514240,0.460126755458,0.223211452540,1.4851086139,0.574529141070
188,462.065367274882533,0.684020778022,1.8931206733,0.6735793474,0.460742269239,0.223278508783,1.4846060882,1.977422852707
189,464.057286910548271,0.684705405147,1.8950154721,0.6738076486,0.461359738999,0.223345666148,1.4841030703,1.991919635666
190,465.671539211371112,0.685258074880,1.8965450609,0.6739917209,0.461858269130,0.223399805751,1.4836977503,1.614252300823
191,469.536004559112030,0.686573402729,1.9001854099,0.6744289966,0.463045011116,0.223528391612,1.4827357735,3.864465347741
192,470.773655478101659,0.686992367637,1.9013449523,0.6745680416,0.463423096044,0.223569271593,1.4824301454,1.237650918990
193,475.600339369375774,0.688615821504,1.9058380820,0.6751057453,0.464888497421,0.223727324083,1.4812494293,4.826683891274
194,476.769015237484496,0.689006427594,1.9069191376,0.6752348613,0.465241159565,0.223765268029,1.4809661902,1.168675868109
195,478.075263766670957,0.689441882976,1.9081243197,0.6753786853,0.465634352500,0.223807530475,1.4806508138,1.306248529186
196,478.942181534634813,0.689730225234,1.9089223461,0.6754738523,0.465894732294,0.223835492940,1.4804422060,0.866917767964
197,481.830339376286588,0.690687092695,1.9115706072,0.6757892787,0.466758932181,0.223928160515,1.4797512058,2.888157841652
198,482.834782790982388,0.691018528317,1.9124879004,0.6758983964,0.467058315168,0.223960213149,1.4795123133,1.004443414696
199,483.851427212482520,0.691353288538,1.9134143949,0.6760085365,0.467360724785,0.223992563753,1.4792712607,1.016644421500
200,485.539148129356022,0.691907470526,1.9149481690,0.6761907098,0.467861403612,0.224046066914,1.4788727285,1.687720916874
201,486.528718261651250,0.692231511754,1.9158449973,0.6762971383,0.468154190452,0.224077321301,1.4786399991,0.989570132295
